2, 16, 26289870
2, 64, 26286046
2, 256, 26290209
2, 1024, 26293814
2, 4096, 26301678
2, 16384, 26290660
2, 65536, 26289603
2, 262144, 26294768
2, 1048576, 26365864
2, 4194304, 23605011
4, 16, 25853078
4, 64, 25850245
4, 256, 25856569
4, 1024, 26052597
4, 4096, 25966386
4, 16384, 25961536
4, 65536, 25856136
4, 262144, 25899405
4, 1048576, 17806231
4, 4194304, 15263901
6, 16, 25094762
6, 64, 25093960
6, 256, 25097793
6, 1024, 24985806
6, 4096, 24976837
6, 16384, 24976436
6, 65536, 25094965
6, 262144, 15257637
6, 1048576, 8665642
6, 4194304, 10061689
8, 16, 24374704
8, 64, 24361919
8, 256, 24433268
8, 1024, 24425992
8, 4096, 24424700
8, 16384, 24425428
8, 65536, 23420942
8, 262144, 12095890
