3, 16, 4, 24486186
3, 16, 8, 24484972
3, 16, 16, 24483241
3, 256, 4, 24324662
3, 256, 8, 24322861
3, 256, 16, 24323755
3, 4096, 4, 24671239
3, 4096, 8, 24669249
3, 4096, 16, 24669100
6, 16, 4, 22837214
6, 16, 8, 22836829
6, 16, 16, 22835940
6, 256, 4, 22855026
6, 256, 8, 22853969
6, 256, 16, 22854832
6, 4096, 4, 22696535
6, 4096, 8, 22693422
6, 4096, 16, 22695731
9, 16, 4, 21066066
9, 16, 8, 21066529
9, 16, 16, 21066539
9, 256, 4, 21113669
9, 256, 8, 21112567
9, 256, 16, 21112775
9, 4096, 4, 21115975
9, 4096, 8, 21115032
9, 4096, 16, 21115828
3, 65536, 4, 24323807
3, 65536, 8, 24323756
3, 65536, 16, 24322670
6, 65536, 4, 21051835
6, 65536, 8, 21046117
6, 65536, 16, 21945177
9, 65536, 4, 13634000
9, 65536, 8, 10834316
9, 65536, 16, 13689969
