2, 16, 26187248
2, 64, 26187175
2, 256, 26187011
2, 1024, 26130120
2, 4096, 26130171
2, 16384, 26129932
2, 65536, 26190634
2, 262144, 26129173
2, 1048576, 26066502
2, 4194304, 25908223
4, 16, 24457081
4, 64, 24457549
4, 256, 24457501
4, 1024, 24468041
4, 4096, 24468010
4, 16384, 24468135
4, 65536, 24460987
4, 262144, 24451574
4, 1048576, 18686026
4, 4194304, 16031232
6, 16, 23002192
6, 64, 23002126
6, 256, 23002067
6, 1024, 22940645
6, 4096, 22943671
6, 16384, 22940689
6, 65536, 23001829
6, 262144, 15995074
6, 1048576, 11729475
6, 4194304, 10601185
8, 16, 21591053
8, 64, 21591012
8, 256, 21591028
8, 1024, 21552439
8, 4096, 21552502
8, 16384, 21552555
8, 65536, 21590476
8, 262144, 12761236
8, 1048576, 9477787
8, 4194304, 8461426
