2, 16, 9699820
2, 64, 9699798
2, 256, 9699815
2, 1024, 9678686
2, 4096, 9678731
2, 16384, 9678666
2, 65536, 9699775
2, 262144, 9678670
2, 1048576, 9678674
2, 4194304, 9678636
4, 16, 9059881
4, 64, 9058549
4, 256, 9059727
4, 1024, 9063701
4, 4096, 9062414
4, 16384, 9062380
4, 65536, 9058589
4, 262144, 9062401
4, 1048576, 9063398
4, 4194304, 9060591
6, 16, 8519267
6, 64, 8519231
6, 256, 8519250
6, 1024, 8497624
6, 4096, 8496513
6, 16384, 8496526
6, 65536, 8520465
6, 262144, 8477155
6, 1048576, 8466245
6, 4194304, 8453012
8, 16, 7996513
8, 64, 7996530
8, 256, 7996568
8, 1024, 7982294
8, 4096, 7982321
8, 16384, 7982338
8, 65536, 7996547
8, 262144, 7963834
8, 1048576, 7913346
8, 4194304, 7647571
