10, 1, 3921035
10, 2, 3917493
10, 4, 3913948
10, 8, 3910409
10, 16, 3906839
10, 32, 3903312
10, 64, 3899798
10, 128, 3896266
10, 256, 3892788
10, 512, 3889266
10, 1024, 3885759
10, 2048, 3882268
10, 4096, 3878790
10, 8192, 3875297
10, 16384, 3871832
10, 32768, 3868373
10, 65536, 3864872
10, 131072, 3861436
10, 262144, 3857989
10, 524288, 3854539
10, 1048576, 3851134
10, 2097152, 3847517
10, 4194304, 3844260
12, 1, 3347016
12, 2, 3343926
12, 4, 3340819
12, 8, 3337732
12, 16, 3334615
12, 32, 3331552
12, 64, 3328442
12, 128, 3325385
12, 256, 3322301
12, 512, 3319256
12, 1024, 3316189
12, 2048, 3313139
12, 4096, 3310073
12, 8192, 3307043
12, 16384, 3304030
12, 32768, 3300975
12, 65536, 3297951
12, 131072, 3294930
12, 262144, 3291913
12, 524288, 3288903
12, 1048576, 3285916
12, 2097152, 3282749
12, 4194304, 3279946
